Stkcd,Stknme,Listdt,Conme,Conme_en,Nnindcd,Nnindnme,PROVINCE,PROVINCECODE,CITY,CITYCODE,OWNERSHIPTYPE,OWNERSHIPTYPECODE,Markettype
688251,井松智能,6/6/2022,合肥井松智能科技股份有限公司,"Hefei Jingsong Intelligent Technology Co., Ltd.",C34,通用设备制造业,安徽省,340000,合肥市,340100,私营企业,P0306,32
688252,天德钰,9/27/2022,深圳天德钰科技股份有限公司,Jadard Technology Inc.,I65,软件和信息技术服务业,广东省,440000,深圳市,440300,中外合资,P0303,32
688253,英诺特,7/28/2022,北京英诺特生物技术股份有限公司,"Innovita Biological Technology Co., Ltd.",C27,医药制造业,北京市,110000,北京市,110000,中外合资,P0303,32
688255,凯尔达,10/25/2021,杭州凯尔达焊接机器人股份有限公司,"Hangzhou Kaierda Welding Robot Co., Ltd.",C34,通用设备制造业,浙江省,330000,杭州市,330100,中外合资,P0303,32
688256,寒武纪,7/20/2020,中科寒武纪科技股份有限公司,Cambricon Technologies Corporation Limited,I65,软件和信息技术服务业,北京市,110000,北京市,110000,私营企业,P0306,32
688257,新锐股份,10/27/2021,苏州新锐合金工具股份有限公司,Shareate Tools Ltd.,C32,有色金属冶炼及压延加工业,江苏省,320000,苏州市,320500,私营企业,P0306,32
688258,卓易信息,12/9/2019,江苏卓易信息科技股份有限公司,"Jiangsu Eazytec Co., Ltd.",I65,软件和信息技术服务业,江苏省,320000,宜兴市,320282,私营企业,P0306,32
688259,创耀科技,1/12/2022,创耀(苏州)通信科技股份有限公司,Triductor Technology (Suzhou) Inc.,I65,软件和信息技术服务业,江苏省,320000,苏州市,320500,私营企业,P0306,32
688260,昀冢科技,4/6/2021,苏州昀冢电子科技股份有限公司,"Suzhou GYZ Electronic Technology Co., Ltd.",C39,计算机、通信和其他电子设备制造业,江苏省,320000,昆山市,320583,私营企业,P0306,32
688261,东微半导,2/10/2022,苏州东微半导体股份有限公司,Suzhou Oriental Semiconductor Company Limited,C39,计算机、通信和其他电子设备制造业,江苏省,320000,苏州市,320500,私营企业,P0306,32
688262,国芯科技,1/6/2022,苏州国芯科技股份有限公司,"C*Core Technology Co., Ltd.",I65,软件和信息技术服务业,江苏省,320000,苏州市,320500,私营企业,P0306,32
688265,南模生物,12/28/2021,上海南方模式生物科技股份有限公司,Shanghai Model Organisms Center Inc.,M73,研究和试验发展,上海市,310000,上海市,310000,国营或国有控股,P0301,32
688266,泽璟制药,1/23/2020,苏州泽璟生物制药股份有限公司,"Suzhou Zelgen Biopharmaceuticals Co., Ltd.",C27,医药制造业,江苏省,320000,昆山市,320583,中外合资,P0303,32
688267,中触媒,2/16/2022,中触媒新材料股份有限公司,"China Catalyst Holding Co., Ltd.",C26,化学原料及化学制品制造业,辽宁省,210000,大连市,210200,私营企业,P0306,32
688268,华特气体,12/26/2019,广东华特气体股份有限公司,"Guangdong Huate Gas Co., Ltd.",C26,化学原料及化学制品制造业,广东省,440000,佛山市,440600,私营企业,P0306,32
688269,凯立新材,6/9/2021,西安凯立新材料股份有限公司,"Kaili Catalyst & New Materials Co., Ltd.",C26,化学原料及化学制品制造业,陕西省,610000,西安市,610100,国营或国有控股,P0301,32
688270,臻镭科技,1/27/2022,浙江臻镭科技股份有限公司,"Great Microwave Technology Co., Ltd.",C39,计算机、通信和其他电子设备制造业,浙江省,330000,杭州市,330100,私营企业,P0306,32
688271,联影医疗,8/22/2022,上海联影医疗科技股份有限公司,"Shanghai United Imaging Healthcare Co., Ltd.",C35,专用设备制造业,上海市,310000,上海市,310000,国营或国有控股,P0301,32
688272,富吉瑞,10/18/2021,北京富吉瑞光电科技股份有限公司,"Beijing Fjr Optoelectronic Technology Co., Ltd.",C39,计算机、通信和其他电子设备制造业,北京市,110000,北京市,110000,私营企业,P0306,32
