Stkcd,Trdynt,Yclsprc,Ynvaltrd,Ysmvosd,Ndaytrd,Yretwd
9,2007,15.9,52610798539,9217656.92,239,2.758865
9,2008,3.98,24117638679,2969140.43,200,-0.677886
9,2009,10.98,75512833734,10849556.03,236,1.90324
9,2010,16.77,83083657898,17989961.54,238,0.532361
9,2011,10.9,1.31429E+11,11765870.82,236,-0.349385
9,2012,8.8,60951281878,9499338.95,240,-0.192661
9,2013,9.45,66562162933,11731143.86,234,0.238129
9,2014,12.95,86647753300,19291214.35,186,0.64885
9,2015,17.96,2.90357E+11,26754456.35,212,0.389233
9,2016,10.36,1.91386E+11,21963878.89,244,-0.217461
9,2017,7.23,65573917747,15328243.96,244,-0.300474
9,2018,4.31,22213349787,9136290.87,243,-0.401517
9,2019,6.19,46177339566,15746350.28,244,0.729817
9,2020,7.53,1.63612E+11,19212270.34,243,0.219523
9,2021,14.43,3.73436E+11,36817139.58,243,0.918481
9,2022,12.09,2.35593E+11,30846792.62,242,-0.160176
9,2023,11.74,50234819636,29953792,242,-0.025966
10,2000,13.67,2635623527,676676.95,236,0.859864
10,2001,10.15,2251580743,688107.54,235,-0.257498
10,2002,7.82,1983171720,530147.88,235,-0.229557
10,2003,5.34,1280770062,362019.14,239,-0.317136
10,2004,4.44,1997111708,301004.68,241,-0.168539
10,2005,2.82,962809640.3,191178.65,240,-0.364865
10,2006,5.37,1201193335,364052.95,198,0.904255
10,2007,15.54,6677424048,1053516.37,148,1.893855
10,2008,5.16,1485452497,349816.25,163,-0.667954
10,2009,11.86,6176952546,804035.01,241,1.29845
10,2010,14.63,2036925963,991823.97,71,0.233558
10,2012,18.7,4004728613,1267744.92,157,0.278196
10,2013,7.67,10008155034,2079915.2,86,0.640641
10,2014,7.4,14511278933,2650365.12,241,-0.035202
10,2015,10.1,39743528107,4120092.24,145,0.364865
10,2016,7.69,31055410953,3136981.12,244,-0.238614
10,2017,5.42,21148386757,2830169.52,244,-0.295189
10,2018,3.26,9632627045,1702278.59,243,-0.398524
10,2019,3.4,3451207108,1775383.09,243,0.042945
10,2020,3.91,6039068513,2041690.56,242,0.15
10,2021,3.77,10165615986,1968586.55,243,-0.035806
10,2022,3.75,14392769208,1958142.27,242,-0.005305
10,2023,3.18,31033406906,1660505.36,242,-0.152
11,2000,10.95,5710541665,1000734.74,236,0.674312
11,2001,8.34,2940544216,762203.44,238,-0.238356
11,2002,5.41,1561621425,494426.93,236,-0.351319
11,2003,4.05,730993666,370134.77,238,-0.251386
11,2004,3.8,1110282483,347286.94,241,-0.061728
11,2005,5.22,3179656343,477062.59,230,0.373684
11,2006,5.7,1844867824,520930.41,140,0.091954
11,2007,12.66,7722036653,1157013.86,234,1.221053
11,2008,3.89,1511301806,355511.76,223,-0.692733
11,2009,10.69,11845510480,1493791.72,213,3.20533
11,2010,6.83,16216661681,954405.75,218,-0.361085
11,2011,6.17,24029280395,895603.46,242,-0.096632
11,2012,7.19,14140101706,1049274.59,242,0.165316
11,2013,7.81,14286071028,1373098.05,238,0.086231
11,2014,9.98,12427790271,1755109.01,245,0.327072
11,2015,14.52,53635069529,2553525.33,244,0.471215
11,2016,18.73,58078036248,3293906.98,244,0.298388
11,2017,16.79,47005093703,2952733.49,244,-0.094538
11,2018,9.18,16463975838,1614418.91,243,-0.438429
11,2019,9.41,12762776690,4953824.57,244,0.05491
11,2020,12.17,59127092659,6407207.36,243,0.346152
11,2021,11.66,25526044572,6138704.83,243,-0.008333
11,2022,11.59,33689274286,6101851.54,242,0.051866
11,2023,8.86,15172715574,4664573.31,242,-0.205649
12,2000,25.47,10981688482,2729517.94,237,3.716667
12,2001,12.18,980499942.3,1305281.84,239,-0.518989
12,2002,8.91,4332794217,954849.03,236,-0.262931
12,2003,7.35,6009042648,787670.08,238,-0.162275
12,2004,8.75,4495237755,937702.47,242,0.212521
12,2005,4.62,4018365833,742660.36,239,-0.17308
12,2006,11,12637848353,2393895.88,196,2.295734
12,2007,21.3,32111144750,8230241.59,235,0.99127
12,2008,8.5,26201185293,4588141.04,243,-0.597247
12,2009,19.6,82881924072,11110932.38,241,1.319865
12,2010,19.75,1.34211E+11,25171089.71,240,0.742646
12,2011,9.06,1.06087E+11,11685879.59,241,-0.531162
12,2012,8.25,43875555065,10755043.12,229,-0.071412
12,2013,8.14,63694806113,10602084.4,237,-0.000352
12,2014,8.89,47271635486,11581612.6,244,0.137579
12,2015,13.35,1.3433E+11,17409359.89,220,0.5528
12,2016,11.34,91074281285,14788175.37,244,-0.126612
12,2017,8.45,52018745743,12754458.7,244,-0.13463
12,2018,3.99,17975140427,7082648.66,243,-0.452184
12,2019,5.01,17376234897,9808287.22,244,0.396044
12,2020,7.38,70604803380,14450033.13,243,0.494096
12,2021,9.93,1.26375E+11,19431928.38,243,0.359371
12,2022,6.71,74721033280,13129958.58,242,-0.306488
12,2023,5.57,23552468859,10900302.84,242,-0.14872
13,2000,13.9,4096562327,711024.41,237,0.699267
13,2001,8.99,2032790996,459863.99,238,-0.353237
13,2002,4.8,1314098977,245533.61,235,-0.466073
13,2003,2.69,1160248842,137601.13,239,-0.439583
13,2004,2.47,349164423,126347.5,75,-0.081784
14,2000,14.5,4981524879,655695.09,238,1.3126
14,2001,13.2,3707959458,596908.63,226,-0.089655
14,2002,9.7,1509234980,438637.4,228,-0.265152
14,2003,6.69,915987668,302524.15,238,-0.308115
14,2004,5.61,1204760474,253686.17,238,-0.158081
14,2005,6.64,1284174043,300263.13,232,0.19014
14,2006,7.23,5380643115,622826.67,210,1.082485
14,2007,19.26,16956831637,1890035.47,187,1.66508
14,2008,7.36,4402668532,1083372.4,225,-0.425777
14,2009,15.5,17065336856,3126410.79,240,1.109841
14,2010,9.19,15302085856,1853661.95,240,-0.405711
14,2011,4.9,5281905023,988355.42,241,-0.464531
14,2012,8.48,22966261915,1710459.99,242,0.735233
14,2013,10.26,24666151454,2069495.22,238,0.213338
14,2014,13.8,13232852340,2783531.58,245,0.347308
14,2015,22.81,49005059953,4600895.32,244,0.653885
14,2016,20.79,25339330609,4193450.84,244,-0.086584
14,2017,10.78,12074782921,2174381.92,244,-0.481055
14,2018,9.29,35063474187,1873841.19,243,-0.137652
14,2019,9.31,14929450792,1877875.29,244,0.009085
14,2020,8.28,11798280392,1670118.95,243,-0.109571
14,2021,7.92,4181045462,1597505.08,243,-0.042508
14,2022,10.19,40501965854,2466451.02,242,0.551008
14,2023,11.01,38445231394,2664928.93,242,0.093035
15,2000,8.49,637247172,222969.47,106,0.572222
15,2001,6.85,101298008.2,179898.81,20,-0.193168
16,2000,14.97,16276290457,3356254.6,237,0.062981
16,2001,8.1,2292897169,1816009.5,239,-0.452255
16,2002,6.81,3641702972,1526793.17,236,-0.159259
16,2003,6.7,2941059884,1502131.32,240,-0.016153
16,2004,5.4,2957824228,1210673,241,-0.19403
16,2005,3.52,1343620186,789179.44,239,-0.348148
16,2006,4.16,4153438295,1165816.86,204,0.477271
16,2007,8.88,20781268602,2488570.61,238,1.158281
16,2008,3.15,17021974843,1889712.49,242,-0.290541
16,2009,7.69,30565605782,4613307.98,241,1.464879
16,2010,4.76,32319572276,2855571.65,239,-0.37972
16,2011,3.16,12023722120,1895715.63,240,-0.334666
16,2012,3.16,6475480230,1895731.27,242,0.00295
16,2013,3.86,9926950705,2315671.75,238,0.225301
16,2014,5.99,17824514601,3593490.61,244,0.555663
16,2015,6.91,1.03761E+11,8290824.75,177,1.308026
16,2016,4.51,40291282908,7200638.04,226,-0.347323
16,2017,6.06,23822866364,9675240.26,244,0.343681
16,2018,3.24,20294621177,5172900.73,243,-0.449157
16,2019,4.37,25686361875,6977029.69,244,0.381265
16,2020,6.61,1.93507E+11,10553356.12,243,0.52173
16,2021,6.55,36276881292,10457561.67,234,0.006879
16,2022,4.51,18026923942,7200520.78,242,-0.305421
16,2023,4.17,14160892982,6657796.15,242,-0.075388
17,2000,9.14,5329034894,701513.28,236,0.702048
17,2001,5.82,3327809966,446696.64,237,-0.363239
17,2002,4.98,2132720897,382224.96,235,-0.14433
17,2003,3.37,891362256,258654.24,238,-0.323293
17,2004,2.81,1091886913,215673.12,239,-0.166172
17,2005,2.11,821706745.3,161946.72,239,-0.24911
17,2006,2.73,1177715753,209532.96,239,0.293839
17,2007,3.49,47642797,267864.48,5,0.278388
17,2010,5.01,5161575653,581892.59,184,1.174687
17,2011,2.73,3992118476,529001.27,236,-0.45509
17,2012,4.19,2518431883,1112214.56,205,0.534799
17,2013,4.4,45139147.95,1333094.48,1,0.050119
17,2014,6.89,8366432240,2087509.69,242,0.565909
17,2015,13.9,46231537558,4211404.74,244,1.017417
17,2016,12.6,35840629374,3817551.25,225,-0.093525
17,2017,6.2,15983152105,1878477.6,231,-0.507936
17,2018,4.36,11601512671,1320997.19,243,-0.296774
17,2019,4.52,13134340475,1369474.16,244,0.036698
17,2020,2.41,5223213277,730184.23,242,-0.466815
17,2021,3.57,5490354388,1081642.2,242,0.481328
17,2022,4.76,15375333550,1442189.6,242,0.333334
17,2023,4.35,7261881742,1317984.6,242,-0.086135
18,2000,18.64,2589537482,377109.57,236,0.637961
18,2001,12.79,939169328.6,258757.05,238,-0.313841
18,2002,11,1166172966,222543.2,236,-0.139953
18,2003,7.6,374182775,153757.12,239,-0.309091
18,2004,6.41,608124724,129681.99,241,-0.156579
18,2005,4.7,564466781.2,95086.64,240,-0.266771
18,2006,5.08,781302627.4,138745.57,170,0.459148
18,2007,8.46,3333181398,361724.66,237,0.665354
18,2008,3.98,643632472.8,203832.4,239,-0.529551
18,2009,8.6,2072371771,857595.9,241,1.160804
18,2010,7.75,1776645760,772833.51,240,-0.098837
18,2011,4.59,1733194535,457716.88,242,-0.407742
18,2012,6.69,829894584.2,667129.83,242,0.457516
18,2013,9.57,1207824298,954324.74,237,0.430493
18,2014,25.7,4364885354,2562815.64,158,1.685475
18,2015,49.2,24797184058,4900519.41,239,0.914397
18,2016,10.7,65234218868,8061443.87,233,-0.173578
18,2017,6.12,35779261650,4613050.03,244,-0.423412
18,2018,2.12,17534473293,2110639.59,234,-0.649305
18,2019,0.27,13923195832,268890.21,226,-0.872641
18,2020,0.27,43048392.56,268890.21,3,0
19,2000,14.95,3764251806,597229.73,239,0.743946
