日期,soya_bean_meal_future_price/share,rice_future_price,cron_future_price,W.CBT_price,broiler_chicken/500g,Black-bone_chicken,cock,,,Festival,,发布日期,broiler_chicken/500g,Black-bone_chicken,cock
2022-07-06,3762,3363,2672,804.5,7.5,12,14,,,,#N/A,2022-05-08,7.2,12,15
2022-07-07,3855,3352,2705,836.5,7.5,12,14,,,,2022-05-09,2022-05-09,7.2,12,15
2022-07-08,3919,3347,2722,891.5,7.5,12,14,,,,2022-05-10,2022-05-10,7.2,12,15
2022-07-11,3957,3348,2743,856.5,7.5,12,14,,,,2022-05-11,2022-05-11,7.2,12,15
2022-07-12,3971,3352,2726,814.25,7.5,12,14,,,,2022-05-12,2022-05-12,7.2,12,15
2022-07-13,3891,3349,2691,810.75,7.5,12,14,,,,2022-05-13,2022-05-13,7.2,12,15
2022-07-14,3926,3348,2704,795,7.5,12,14,,,,#N/A,2022-05-14,7.2,12,15
2022-07-15,3927,3343,2696,776.75,7.5,12,14,,,,#N/A,2022-05-15,7.2,12,15
2022-07-18,3930,3331,2676,812.75,7.5,12,14,,,,2022-05-16,2022-05-16,7.35,12,15
2022-07-19,3951,3329,2659,812.25,7.5,12,14,,,,2022-05-17,2022-05-17,7.35,12,15
2022-07-20,3819,3340,2613,819.5,7.5,12,14,,,,2022-05-18,2022-05-18,7.35,12,15
2022-07-21,3818,3349,2613,806.25,7.5,12,14,,,,2022-05-19,2022-05-19,7.35,12,15
2022-07-22,3775,3352,2577,759,7.5,12,14,,,,2022-05-20,2022-05-20,7.35,12,14
2022-07-25,3806,3353,2580,770,7.5,12,14.25,,,,#N/A,2022-05-21,7.35,12,14
2022-07-26,3862,3347,2620,803.75,7.5,12,14.25,,,,#N/A,2022-05-22,7.35,12,14
2022-07-27,3913,3348,2635,790.25,7.5,12,14.25,,,,2022-05-23,2022-05-23,7.35,12,14
2022-07-28,3970,3345,2663,817,7.5,12,14.25,,,,2022-05-24,2022-05-24,7.35,12,14
2022-07-29,3963,3347,2666,807.75,7.5,12,14.25,,,,2022-05-25,2022-05-25,7.35,12,14
2022-08-01,4027,3347,2670,800.25,7.5,12,14.25,,,,2022-05-26,2022-05-26,7.35,12,14
2022-08-02,3957,3355,2669,774.75,7.5,12,14.25,,,,2022-05-27,2022-05-27,7.35,12,14
2022-08-03,3955,3357,2682,763.75,7.5,12,14.25,,,,#N/A,2022-05-28,7.35,12,14
2022-08-04,3946,3349,2671,782.5,7.5,12,14.25,,,,#N/A,2022-05-29,7.35,12,14
2022-08-05,4027,3350,2677,775.75,7.5,12,14.25,,,,2022-05-30,2022-05-30,7.5,12,14
2022-08-08,4024,3349,2673,779.75,7.5,12,14.25,,,,2022-05-31,2022-05-31,7.5,12,14
2022-08-09,4019,3351,2697,781.5,7.5,12,14.25,,,,2022-06-01,2022-06-01,7.5,12,14
2022-08-10,4049,3350,2721,799.75,7.5,12,14.25,,,,2022-06-02,2022-06-02,7.5,12,14
2022-08-11,3733,3354,2707,810.75,7.5,12,14.25,,,端午节,#N/A,2022-06-03,7.5,12,14
2022-08-12,3749,3351,2750,806,7.5,12,14.25,,,,#N/A,2022-06-04,7.5,12,14
2022-08-15,3716,3356,2739,800.75,7.5,12,14.25,,,,#N/A,2022-06-05,7.5,12,14
2022-08-16,3664,3397,2738,802.75,7.5,12,14.25,,,,2022-06-06,2022-06-06,7.5,12,14
2022-08-17,3658,3408,2729,780.5,7.5,12,14.25,,,,2022-06-07,2022-06-07,7.5,12,14
2022-08-18,3655,3427,2702,749,7.5,12,14.25,,,,2022-06-08,2022-06-08,7.5,12,14
2022-08-19,3662,3444,2687,771,7.5,12,14.25,,,,2022-06-09,2022-06-09,7.5,12,14
2022-08-22,3681,3444,2688,788.25,7.5,12,14.25,,,,2022-06-10,2022-06-10,7.5,12,14
2022-08-23,3806,3417,2719,800.5,7.5,12,14.25,,,,#N/A,2022-06-11,7.5,12,14
2022-08-24,3864,3413,2745,813.25,7.65,12,14.25,,,,#N/A,2022-06-12,7.5,12,14
2022-08-25,3846,3393,2739,789,7.65,12,14.25,,,,2022-06-13,2022-06-13,7.5,12,14
2022-08-26,3784,3371,2746,805.25,7.65,12,14.25,,,,2022-06-14,2022-06-14,7.35,12,14
2022-08-29,3789,3379,2784,842.75,7.65,12,14.25,,,,2022-06-15,2022-06-15,7.35,12,14
2022-08-30,3767,3366,2796,820.25,7.65,12,14.5,,,,2022-06-16,2022-06-16,7.35,12,14
2022-08-31,3763,3359,2789,831.5,7.65,12,14.5,,,,2022-06-17,2022-06-17,7.35,12,14
2022-09-01,3767,3344,2791,794.25,7.65,12,14.5,,,,#N/A,2022-06-18,7.35,12,14
2022-09-02,3781,3360,2791,811,7.65,12,14.5,,,,#N/A,2022-06-19,7.35,12,14
2022-09-05,3844,3372,2802,814,7.4,12,14.5,,,,2022-06-20,2022-06-20,7.35,12,14
2022-09-06,3833,3379,2819,817,7.4,12,14.5,,,,2022-06-21,2022-06-21,7.35,12,14
2022-09-07,3815,3378,2807,844.25,7.4,12,14.5,,,,2022-06-22,2022-06-22,7.35,12,14
2022-09-08,3869,3389,2803,829,7.4,12,14.5,,,,2022-06-23,2022-06-23,7.35,12,14
2022-09-09,3839,3404,2804,869.5,7.4,12,14.5,,,,2022-06-24,2022-06-24,7.35,12,14
2022-09-13,4048,3411,2838,860.5,7.4,12,14.5,,,,#N/A,2022-06-25,7.35,12,14
2022-09-14,4049,3409,2835,872.25,7.4,12,14.5,,,,#N/A,2022-06-26,7.35,12,14
2022-09-15,3997,3408,2832,845,7.4,12,14.5,,,,2022-06-27,2022-06-27,7.35,12,14
2022-09-16,3992,3421,2837,859.75,7.4,12,14.5,,,,2022-06-28,2022-06-28,7.35,12,14
2022-09-19,3996,3418,2844,830.5,7.4,12,14.5,,,,2022-06-29,2022-06-29,7.5,12,14
2022-09-20,4008,3418,2832,893.75,7.4,12,14.5,,,,2022-06-30,2022-06-30,7.5,12,14
2022-09-21,4028,3417,2847,903.75,7.4,12,14.5,,,,2022-07-01,2022-07-01,7.5,12,14
2022-09-22,4067,3416,2847,910.75,7.4,12,14.5,,,,#N/A,2022-07-02,7.5,12,14
2022-09-23,4058,3415,2835,880.5,7.4,12,14.5,,,,#N/A,2022-07-03,7.5,12,14
2022-09-26,4016,3414,2802,858,7.5,12,14.5,,,,2022-07-04,2022-07-04,7.5,12,14
2022-09-27,4030,3415,2779,871.5,7.5,12,14.5,,,,2022-07-05,2022-07-05,7.5,12,14
2022-09-28,4054,3410,2763,903.25,7.5,12,14.5,,,,2022-07-06,2022-07-06,7.5,12,14
2022-09-29,4102,3398,2766,896.25,7.5,12,14.5,,,,2022-07-07,2022-07-07,7.5,12,14
2022-09-30,4104,3394,2771,921.5,7.65,12,14.5,,,,2022-07-08,2022-07-08,7.5,12,14
2022-10-10,4112,3386,2782,938,7.5,12,14.5,,,,#N/A,2022-07-09,7.5,12,14
2022-10-11,4066,3376,2822,901,7.5,12,14.5,,,,#N/A,2022-07-10,7.5,12,14
2022-10-12,4048,3378,2829,882.25,7.5,12,14.5,,,,2022-07-11,2022-07-11,7.5,12,14
2022-10-13,4088,3383,2839,892.25,7.5,12,14.5,,,,2022-07-12,2022-07-12,7.5,12,14
2022-10-14,4123,3373,2852,859.75,7.5,12,14.5,,,,2022-07-13,2022-07-13,7.5,12,14
2022-10-17,4111,3379,2856,861,7.3,12,14.5,,,,2022-07-14,2022-07-14,7.5,12,14
2022-10-18,4032,3386,2848,849.5,7.3,12,14.5,,,,2022-07-15,2022-07-15,7.5,12,14
2022-10-19,3992,3383,2852,841.25,7.3,12,14.5,,,,#N/A,2022-07-16,7.5,12,14
2022-10-20,4009,3398,2849,849.25,7.3,12,14.5,,,,#N/A,2022-07-17,7.5,12,14
2022-10-21,4049,3411,2870,850.75,7.3,12,14.5,,,,2022-07-18,2022-07-18,7.5,12,14
2022-10-24,4037,3415,2882,838.75,7.3,12,14.5,,,,2022-07-19,2022-07-19,7.5,12,14
2022-10-25,4038,3409,2862,834.75,7.3,12,14.5,,,,2022-07-20,2022-07-20,7.5,12,14
2022-10-26,4078,3403,2867,840.5,7.3,12,14.5,,,,2022-07-21,2022-07-21,7.5,12,14
2022-10-27,4078,3391,2870,838.5,7.3,12,14.5,,,,2022-07-22,2022-07-22,7.5,12,14
2022-10-28,4062,3380,2864,829.25,7.3,12,14.5,,,,#N/A,2022-07-23,7.5,12,14
2022-10-31,4074,3382,2873,882.25,7.3,12,14.5,,,,#N/A,2022-07-24,7.5,12,14
2022-11-01,4190,3379,2877,902.5,7.3,12,14.5,,,,2022-07-25,2022-07-25,7.5,12,14.25
