danjia,area,floor,hall,room,school,chaoxiang,year,subway,district,city
66138,189,高层,5,2,1,南北向,2001,0,南山,深圳
77368,200,低层,5,2,1,其他,2010,0,龙华,深圳
86853,251,高层,5,2,0,南向,2016,0,宝安,深圳
39157,166,低层,5,2,1,南向,2014,0,龙岗,深圳
33333,144,高层,5,2,1,南向,2010,0,龙岗,深圳
39759,166,低层,5,2,1,南向,2014,0,龙岗,深圳
39759,166,低层,5,2,1,南向,2014,0,龙岗,深圳
39157,166,低层,5,2,1,南向,2014,0,龙岗,深圳
71284,335,高层,5,2,0,南北向,2015,0,宝安,深圳
80000,250,中层,5,2,0,南北向,2016,0,宝安,深圳
80000,300,高层,5,2,0,南北向,2016,0,宝安,深圳
105573,132,低层,5,2,1,南北向,2005,0,南山,深圳
109453,201,高层,5,2,0,南北向,2013,0,宝安,深圳
92685,151,低层,5,2,0,南向,1998,0,南山,深圳
88571,175,高层,5,2,0,南北向,2011,0,南山,深圳
81633,245,高层,5,2,1,南向,2006,0,南山,深圳
89655,290,低层,5,2,0,南向,2012,0,宝安,深圳
19444,180,低层,5,2,1,南向,2007,0,龙岗,深圳
85551,263,低层,5,2,0,南向,2012,0,宝安,深圳
45526,255,低层,5,2,1,南向,2011,0,龙岗,深圳
46014,138,低层,5,2,1,南北向,2009,0,龙岗,深圳
96410,195,高层,5,2,1,南北向,2000,0,福田,深圳
100503,199,高层,5,2,1,南北向,2000,0,福田,深圳
74074,162,低层,5,2,0,南向,2006,0,宝安,深圳
76923,169,高层,5,2,1,南北向,2010,0,宝安,深圳
61314,137,中层,5,2,1,南北向,2012,0,南山,深圳
77612,335,中层,5,2,1,其他,2013,0,福田,深圳
77612,335,中层,5,2,1,其他,2012,0,福田,深圳
72267,221,高层,5,2,0,南向,2009,0,南山,深圳
115920,201,中层,5,2,1,其他,2007,0,南山,深圳
58824,221,低层,5,2,1,南向,2007,0,龙岗,深圳
52830,265,低层,5,2,0,南向,2010,0,龙岗,深圳
89415,207,低层,5,2,1,其他,2010,0,宝安,深圳
56439,97,高层,5,2,1,南向,2005,0,龙华,深圳
53226,186,中层,5,2,1,南向,2007,0,龙岗,深圳
57554,139,高层,5,2,1,南北向,2009,0,宝安,深圳
58468,248,低层,5,2,0,南向,2012,0,宝安,深圳
59459,185,低层,5,2,0,南向,2012,0,宝安,深圳
76389,144,高层,5,2,1,南北向,1995,0,南山,深圳
44444,153,中层,5,2,1,其他,2012,0,龙岗,深圳
73359,259,低层,5,2,0,南向,2009,0,龙岗,深圳
30827,133,中层,5,2,1,南向,2002,0,龙岗,深圳
89510,143,低层,5,2,1,南向,2007,0,宝安,深圳
47448,200,中层,5,2,1,南向,2011,0,龙岗,深圳
47886,86,低层,5,2,0,其他,2014,0,龙岗,深圳
65672,335,中层,5,2,0,其他,2015,0,宝安,深圳
32759,174,低层,5,2,1,南向,2012,0,坪山,深圳
102705,292,中层,5,2,1,南北向,2010,0,南山,深圳
66343,134,高层,5,2,1,南向,2008,0,龙华,深圳
40580,138,高层,5,2,0,其他,2015,0,坪山,深圳
58182,165,中层,5,2,0,其他,2010,0,龙岗,深圳
98113,265,高层,5,2,0,其他,2012,0,南山,深圳
60606,198,高层,5,2,1,其他,2016,0,龙华,深圳
92000,250,低层,5,2,1,其他,2016,0,龙华,深圳
76897,267,低层,5,2,1,其他,2006,0,龙华,深圳
67894,317,高层,5,2,1,其他,2006,0,龙华,深圳
65190,158,中层,5,2,1,南北向,2007,0,龙华,深圳
73223,273,中层,5,2,1,南北向,2007,0,龙华,深圳
74324,222,中层,5,2,1,南向,2013,0,龙华,深圳
70715,195,高层,5,2,1,南向,1998,0,罗湖,深圳
42026,138,高层,5,2,1,南向,2015,0,龙岗,深圳
45355,183,高层,5,2,1,南北向,2015,0,龙岗,深圳
68153,195,高层,5,2,1,其他,1997,0,罗湖,深圳
66474,173,高层,5,2,1,南向,2011,0,南山,深圳
57143,175,低层,5,2,0,南向,2013,0,南山,深圳
84000,250,中层,5,2,0,南北向,2016,0,宝安,深圳
52966,236,中层,5,2,0,南北向,1999,0,福田,深圳
98522,203,高层,5,2,0,南向,2012,0,南山,深圳
114035,228,中层,5,2,1,南向,2003,0,南山,深圳
93333,150,高层,5,2,1,南向,2011,0,南山,深圳
34836,122,中层,5,2,0,南北向,2016,0,龙岗,深圳
34194,155,低层,5,2,0,南北向,2016,0,龙岗,深圳
107143,196,高层,5,2,1,其他,2001,0,福田,深圳
74380,242,高层,5,2,1,南北向,2004,0,福田,深圳
117816,174,中层,5,2,1,南北向,2010,0,南山,深圳
65455,275,低层,5,2,1,其他,2009,0,龙华,深圳
78873,213,低层,5,2,0,南北向,2009,0,福田,深圳
84249,273,高层,5,2,1,其他,2003,0,福田,深圳
84270,89,低层,5,2,1,其他,2008,0,龙华,深圳
